S.No,Scheme ID,Scheme Name,District,Block,T/W Vendor,No Of T/W,Drilling Depth,Pin-Point Date,Drilling Status,T/W Drill Start Date,T/W Drill End Date,T/W Logging Status,Logging Date,T/W Assembly Qty. (in nos.),T/W Assembly Size (mm),T/W Lowering Status,T/W Lowering Date,Gravel Requirement (Cum),T/W Gravel Status,Compressor Size Required (PSI),Compressor Hours Required,T/W Compressor Status,Compressor Completion Date,OP Unit Size (Cusec),OP Unit Hours,T/W OP Status,OP Unit Completion Date,Water Sample Status,Water Sample Approval Date,Remark,No of OHT,OHT Capacity (KL),Staging (m),SBC Vendor,SBC Sample Status,SBC Report Status,SBC Value,OHT Design Vendor,Design Approval Status,Drawing Availability Status,OHT Vendor,OHT Excavation Status,OHT PCC Status,OHT Footing Status,OHT Column Casting Status ,OHT Bracing Status,OHT Top Dome Casting Status,OHT Lower Dome Status,OHT Platform Casting Status,ZA Tank Installation Status,OHT Pipe Work Status,OHT Hydrostatic Test,No. of Pumps,Pump Capacity,Pump Head,Pumping Plant (LPM),Rising Main (m),Power Capacity,Power Source,DG Capacity (KVA),Pump House Vendor,Pump House Excavation Status,P/H PCC Base Status,P/H RCC Status,P/H Plastering Status,P/H Flooring Status,Pump Lowering Status,Pump House EM Work Status,Distribution Network Vendor Name,Distribition System Length,D/N Excavation Status,D/N Excavation (m),D/N Pipe Laying Status,D/N Pipe Laying (m),D/N Road Restoration Status,No of FHTC to be Installed,FHTC Installation Count,Boundary Wall Vendor Name,B/W Layout Demarcation Status,B/W Excavation Status,PCC Work Status,B/W Brick Work Status,B/W Column Casting Status,B/W Gate Installation Status
1,20073666,Paharipur,Ghazipur,Mohammadabad,Radianz Enlightenment Pvt Ltd,1,275,12/06/2023,Completed,13/06/2023,17/06/2023,Completed,19/06/2023,1,200X150,Completed,22/06/2023,61,Completed,350,60,Completed,06/07/2023,1,100,Completed,09/07/2023,Collected,Not Approved,Water Sample Approval Awaited,1,225,16,Manohar,To be taken,Awaited,,ATLC,Design in Process,Not Available,Radianz Enlightenment Pvt Ltd,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,1,15,44,730,30,23,Solar,20,Radianz Enlightenment Pvt Ltd,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Radianz Enlightenment Pvt Ltd,11873,Not Started,,Not Started,,Not Started,622,Not Started,Radianz Enlightenment Pvt Ltd,Not Started,Not Started,Not Started,Not Started,Not Started ,Not Started
2,20073672,Lahana,Ghazipur,Bhadaura,,1,200,Not Found,Not Started,Not Started,Not Started,Not Started,Not Started,1,300X150,Not Started,Not Started,49,Not Available,350,60,Not Available,Not Started,1,100,Not Available,Not Started,To be taken,Not Approved,,1,275,18,Manohar,To be taken,Awaited,,Troynoya,Not Started,Available,MJ Telecommunication Services,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,1,17.5,46,920,30,26.5,Solar,25,,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,,15652,Not Started,,Not Started,,Not Started,708,Not Started,,Not Started,Not Started,Not Started,Not Started,Not Started ,Not Started
3,20073678,Ramchranpur,Ghazipur,Sadat,,1,100,Not Found,Not Started,Not Started,Not Started,Not Started,Not Started,1,300X300,Not Started,Not Started,33,Not Available,250,60,Not Available,Not Started,1,120,Not Available,Not Started,To be taken,Not Approved,,1,125,12,WSD,To be taken,Awaited,,ATLC,Approved,Available,Saswat Construction,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,1,7.5,41,400,35,13,Solar,15,,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,,8065,Not Started,,Not Started,,Not Started,395,Not Started,,Not Started,Not Started,Not Started,Not Started,Not Started ,Not Started
4,20073685,Katghra,Ghazipur,Manihari,Padma Enterprises,1,120,12/05/2023,Completed,15/05/2023,27/05/2023,Completed,31/05/2023,1,300X300,Not Started,Not Started,40,Available,250,41.2,Not Available,Not Started,1,90,Not Available,Not Started,To be taken,Not Approved,,1,150,12,Skylone,Collected,Submitted,9.88,ATLC,Approved,Available,Radianz Enlightenment Pvt Ltd,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,1,10,43,460,40,16,Solar,15,,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,,15061,Not Started,,Not Started,,Not Started,460,Not Started,Padma Construction,Completed,Completed,Not Started,Not Started,Not Started ,Not Started
5,20073694,Mardanpur,Ghazipur,Manihari,,1,120,Not Found,Not Started,Not Started,Not Started,Not Started,Not Started,1,300X300,Not Started,Not Started,40,Not Available,250,41.25,Not Available,Not Started,1,90,Not Available,Not Started,To be taken,Not Approved,,1,100,12,Skylone,Collected,Awaited,,ATLC,Approved,Available,Radianz Enlightenment Pvt Ltd,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,1,7.5,43,360,40,12.5,Solar,15,,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,,8750,Not Started,,Not Started,,Not Started,379,Not Started,,Not Started,Not Started,Not Started,Not Started,Not Started ,Not Started
6,20073704,Suzni Pur,Ghazipur,Manihari,Shashwat Construction,1,120,13/07/2023,WIP,14/06/2023,WIP,Not Started,Not Started,1,300X300,Not Started,Not Started,40,Not Available,250,34.8,Not Available,Not Started,1,90,Not Available,Not Started,To be taken,Not Approved,,1,100,12,Skylone,Collected,Submitted,12.16,ATLC,Approved,Available,,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,1,7.5,43,350,40,12.5,Solar,15,,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,,6071,Not Started,,Not Started,,Not Started,367,Not Started,,Not Started,Not Started,Not Started,Not Started,Not Started ,Not Started
7,20073711,Chokari,Ghazipur,Manihari,,1,120,23-May-23,Not Started,Not Started,Not Started,Not Started,Not Started,1,300X300,Not Started,Not Started,40,Not Available,250,41.15,Not Available,Not Started,1,90,Not Available,Not Started,To be taken,Not Approved,,1,100,12,Skylone,Collected,Awaited,,ATLC,Approved,Available,,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,1,7.5,43,370,40,12.5,Solar,15,,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,,8551,Not Started,,Not Started,,Not Started,380,Not Started,,Not Started,Not Started,Not Started,Not Started,Not Started ,Not Started
8,20073717,Sihabari,Ghazipur,Manihari,,1,120,Not Found,Not Started,Not Started,Not Started,Not Started,Not Started,1,300X300,Not Started,Not Started,40,Not Available,250,38.1,Not Available,Not Started,1,90,Not Available,Not Started,To be taken,Not Approved,,1,175,16,Skylone,Collected,Awaited,,ATLC,Approved,Available,,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,1,12.5,47,570,40,19.5,Solar,20,,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,,16919,Not Started,,Not Started,,Not Started,558,Not Started,,Not Started,Not Started,Not Started,Not Started,Not Started ,Not Started
9,20073725,Samogar,Ghazipur,Manihari,,1,120,Not Found,Not Started,Not Started,Not Started,Not Started,Not Started,1,300X300,Not Started,Not Started,40,Not Available,250,41.1,Not Available,Not Started,1,90,Not Available,Not Started,To be taken,Not Approved,,1,100,12,Skylone,To be taken,Awaited,,ATLC,Approved,Available,,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,1,7.5,43,360,40,12.5,Solar,15,,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,,7335,Not Started,,Not Started,,Not Started,369,Not Started,,Not Started,Not Started,Not Started,Not Started,Not Started ,Not Started
10,20073734,Raipur,Ghazipur,Jakhania,,1,300,Not Found,Not Started,Not Started,Not Started,Not Started,Not Started,1,200X150,Not Started,Not Started,65,Not Available,600,50,Not Available,Not Started,0.5,100,Not Available,Not Started,To be taken,Not Approved,,1,150,12,Eagle,Collected,Submitted,9.16,ATLC,Approved,Available,,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,1,10,45,470,30,12.5,Solar,20,,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,,6362,Not Started,,Not Started,,Not Started,443,Not Started,,Not Started,Not Started,Not Started,Not Started,Not Started ,Not Started
